genre,total_title
Documentary,159
Drama,105
Comedy,86
Thriller,48
Rom-Com,43
Anime,24
Action,20
Horror,19
"Science Fiction",17
Romance,14
Biopic,10
Interviews,9
Musical,9
"Concert Film",6
"Variety Show",5
Satire,4
Mystery,3
Historical,2
Supernatural,1
